depth,Ca,Sr,Fe,Rb,K,Mo,V,S
310,334769.6567,1700.833333,1420.19,8.223333333,852.7066667,14.75333333,37.58666667,2529.876667
312,270661.94,1783.12,4093.046667,23.00333333,1779.326667,27.53333333,60.04,4607.796667
315,237170.1033,1420.023333,3382.133333,21.62,2374.876667,16.16333333,48.79,4543.403333
318,195917.7767,1438.723333,8554.183333,39.42666667,3610.696667,29.48,73.96,5949.59
320,257633.71,1541.443333,4454.9,28.43333333,2853.516667,20.85333333,46.73,3886.743333
322,228665.9967,1634.993333,10177.40333,40.65333333,4237.78,26.52,58.29333333,3933.256667
325,240878.2267,1466.283333,4009.516667,24.88666667,2799.29,20.34333333,62.46333333,4463.01
328,199928.5367,2009.12,3620.956667,20.395,1415.12,25.735,38.47333333,2401.553333
330,315480.3967,1936.84,2472.89,17.29666667,1525.033333,22.37,36.49,3405.546667
332,317271.74,2261.233333,1789,12.95666667,518.75,29.98,51.28,3659.816667
335,352285.25,2111.116667,920.78,10.18666667,NA,21.61,24.13666667,2971.46
338,364961.6467,2062.7,1076.463333,10.76333333,396.1166667,25.12,39.47666667,3093.02
340,363008.29,2113.81,1206.453333,13.98333333,552.9866667,26.87333333,26.92,3030.093333
342,367712.69,2080.62,1628.916667,11.57666667,803.85,23.24333333,32.91666667,2643.633333
345,334297.5133,1666.343333,1920.463333,12.61333333,1543.736667,14.30666667,26.36333333,2971.79
350,321932.8133,1653.556667,2431.726667,14.01333333,1871.483333,13.81,37.44,2589.633333
352,262222.6433,1744.56,6495.733333,25.38,2224.48,31.21,69.21,5380.82
355,218481.07,1381.98,4502.976667,23.41666667,2653.136667,26.74333333,72.27,4880.976667
358,328121.9933,1914.65,2784.683333,16.37,1064.3,26.32,41.96,3984.063333
360,322102.4067,1721.226667,1797.07,12.66666667,661.6066667,24.01333333,41.05666667,3240.626667
362,285165.7967,1730.936667,3083.746667,14.00333333,810.62,25.91333333,46.75,3197.156667
365,322137.5,1739.496667,2098.313333,14.78,787.3933333,27.24666667,45.42,3148.013333
368,249521.17,1490.63,9653.856667,38.15333333,5292.263333,22.44333333,48.32,3307.45
370,334016.9267,1693.816667,1718.336667,10.96333333,1212.77,15.31,37.39333333,3003.636667
372,266209.87,1640.616667,6863.603333,26.71,3486.62,24.81666667,49.85,3866.376667
375,324609.0933,1843.193333,2324.49,14.96,1213.653333,21.59,36.03,2963.32
378,271524.7733,1747.523333,8487.793333,29.29666667,3040.376667,32.08,47.13,4413.376667
380,222348.5567,1143.263333,7677.616667,37.35,4922.62,26.85,49.65666667,3670.29
382,242267.3267,1543.696667,8759.116667,32.53,3414.843333,32.72666667,49.16666667,3998.95
385,280871.1467,1362.85,2368.423333,16.89333333,1275.69,29.51333333,35.97,3987.596667
388,299345.9067,1758.59,3380.263333,18.35333333,1350.933333,31.88666667,42.14,4038.66
390,302350.1967,1338.476667,2535.53,17.11333333,1594.253333,23.06666667,32.56,3832.083333
392,266808.67,1550.646667,6282.226667,30.68666667,3359.223333,27.42,40.09,3892.256667
395,319093.8667,1602.433333,2381.533333,14.50333333,1545.393333,19.67333333,28.11666667,3042.146667
398,295204.18,1736.946667,5158.63,22.83333333,1940.696667,30.84333333,47.08333333,3555.79
